plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
CEJ4485,NY,PAS,8563208925,10/10/17,11:20A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTWGRQUkd0NVRsRTlQUT09&locationName=_____________________)
31354MG,NY,COM,8485371185,8/7/17,10:44A,NO STANDING-DAY/TIME LIMITS,,115,0,0,23,92,0,14,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVUVE5OVkVVMFRsRTlQUT09&locationName=_____________________)
JLP8565,NY,PAS,8783266320,2/21/20,03:00P,INSP STICKER-MUTILATED/C'FEIT,,65,0,0,0,65,0,47,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZTVEpPYWsxNVRVRTlQUT09&locationName=_____________________)
JML2036,NY,PAS,8783266707,2/23/20,12:33P,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,50,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZTVEpPYW1OM1RuYzlQUT09&locationName=_____________________)
89319JS,NY,COM,8548637237,10/16/17,05:50P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,15,20,0,72,K,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FOUVXWHBPZWtsNlRuYzlQUT09&locationName=_____________________)
JBS2408,NY,PAS,8783305014,8/28/19,06:37A,NO STANDING-EXC. AUTH. VEHICLE,12/12/19,95,60,3.4,0.08,158.32,0,90,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWGRPVkVGNFRrRTlQUT09&locationName=_____________________)
GYG7929,NY,PAS,8783305762,8/29/19,06:50A,NO STANDING-BUS STOP,12/19/19,115,60,3.49,0.09,178.4,0,81,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWGRPVkdNeVRXYzlQUT09&locationName=_____________________)
UNC4225,VA,PAS,8783316516,9/23/19,08:22A,NO PARKING-STREET CLEANING,1/16/20,45,60,1.36,1.36,105,0,83,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWGhPYWxWNFRtYzlQUT09&locationName=_____________________)
KAV857,NY,PAS,8783322073,10/2/19,09:37A,INSP. STICKER-EXPIRED/MISSING,1/23/20,65,60,1.43,0.12,126.31,0,81,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWGxOYWtFelRYYzlQUT09&locationName=_____________________)
JMK5170,NY,PAS,8804510663,12/23/19,01:37P,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,48,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwNUVWWGhOUkZreVRYYzlQUT09&locationName=_____________________)
HNY5656,NY,PAS,8615875110,6/14/18,02:49P,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,7,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVaek5PVkVWNFRVRTlQUT09&locationName=_____________________)
41727MK,NY,COM,8620364613,3/23/18,09:50A,NO STANDING-DAY/TIME LIMITS,,115,0,0,23,92,0,17,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMUVUVEpPUkZsNFRYYzlQUT09&locationName=_____________________)
HKZ3875,NY,PAS,8482048235,12/16/17,06:32P,NO STANDING-EXC. TRUCK LOADING,,95,0,0,0,95,0,18,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FMXFRVEJQUkVsNlRsRTlQUT09&locationName=_____________________)
11441MK,NY,COM,8566925385,9/21/17,05:03P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,0,35,0,104,Q,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM2xPVkUwMFRsRTlQUT09&locationName=_____________________)
2588117,IN,PAS,8485371290,8/8/17,07:27A,NO STANDING-DAY/TIME LIMITS,,115,0,0,23,92,0,14,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVUVE5OVkVrMVRVRTlQUT09&locationName=_____________________)
ASN3627,NY,PAS,8563208998,10/11/17,08:14A,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTWGRQUkdzMVQwRTlQUT09&locationName=_____________________)
ENX2071,NY,PAS,8563209486,10/14/17,10:24A,NO STANDING-DAY/TIME LIMITS,,115,0,0,115,0,0,104,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTWGRQVkZFMFRtYzlQUT09&locationName=_____________________)
HKP7102,NY,PAS,4663904439,8/23/19,05:31P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0,0,75,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rMTZhM2RPUkZGNlQxRTlQUT09&locationName=_____________________)
HMJ8645,NY,PAS,4666327186,9/17/19,08:51P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNXFUWGxPZWtVMFRtYzlQUT09&locationName=_____________________)
HGK6334,NY,PAS,4666327230,9/17/19,08:52P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNXFUWGxPZWtsNlRVRTlQUT09&locationName=_____________________)
ZORBIE,NY,ORG,4665913602,9/13/19,10:29A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVhM2hOZWxsM1RXYzlQUT09&locationName=_____________________)
KJX4311,PA,PAS,8783324197,10/7/19,04:43P,NO STANDING-DAY/TIME LIMITS,1/23/20,115,60,1.93,0.04,176.89,0,77,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWGxPUkVVMVRuYzlQUT09&locationName=_____________________)
HUW3321,NY,PAS,8783324367,10/8/19,07:47A,NO STANDING-EXC. AUTH. VEHICLE,1/23/20,95,60,1.78,0.08,156.7,0,77,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWGxPUkUweVRuYzlQUT09&locationName=_____________________)
HSJ2634,NY,PAS,8783329791,10/17/19,08:34A,INSP. STICKER-EXPIRED/MISSING,,65,30,0,0,95,0,83,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWGxQVkdNMVRWRTlQUT09&locationName=_____________________)
JDL3833,NY,PAS,8783335146,10/28/19,08:16A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,79,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWHBPVkVVd1RtYzlQUT09&locationName=_____________________)
60082MJ,NY,COM,8620364649,3/23/18,12:02P,NO STANDING-DAY/TIME LIMITS,,115,0,0,23,92,0,17,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMUVUVEpPUkZrd1QxRTlQUT09&locationName=_____________________)
BEH8114,NY,PAS,8566925889,9/25/17,01:33P,EXPIRED MUNI METER,,35,10,0,0,45,0,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM2xPVkdjMFQxRTlQUT09&locationName=_____________________)
JSD9362,PA,PAS,8615021478,2/8/18,09:04A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,67,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxOVkZFelQwRTlQUT09&locationName=_____________________)
GVD6531,NY,PAS,8026991310,9/24/15,07:18A,INSP STICKER-MUTILATED/C'FEIT,1/14/16,65,60,23.46,0.21,148.25,0,100,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVVNXFhelZOVkUxNFRVRTlQUT09&locationName=_____________________)
2208241,IN,PAS,8617459578,12/21/17,08:55A,PLTFRM LFTS LWRD POS COMM VEH,,65,10,0,0,75,0,13,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNTZVVEZQVkZVelQwRTlQUT09&locationName=_____________________)
7WLV071,CA,PAS,1462285740,10/8/19,08:06A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,83,K,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1rMXFTVFJPVkdNd1RVRTlQUT09&locationName=_____________________)
GBJ3486,NY,PAS,4666327873,9/17/19,08:58P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNXFUWGxPZW1jelRYYzlQUT09&locationName=_____________________)
FWF8905,NY,PAS,4665184136,9/5/19,08:54P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVSVFJPUkVWNlRtYzlQUT09&locationName=_____________________)
FMT3689,NY,PAS,4665913778,9/13/19,10:30A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVhM2hOZW1NelQwRTlQUT09&locationName=_____________________)
HXK4781,NY,PAS,8615875418,6/16/18,05:26P,INSP. STICKER-EXPIRED/MISSING,,65,10,0,0,75,0,6,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVaek5PVkZGNFQwRTlQUT09&locationName=_____________________)
DLV2187,NY,PAS,8623981091,6/18/18,08:18A,NO PARKING-DAY/TIME LIMITS,,65,0,0,0,65,0,19,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMTZhelJOVkVFMVRWRTlQUT09&locationName=_____________________)
T736681C,NY,OMT,8621984222,6/22/18,03:48P,NO STANDING-EXC. TRUCK LOADING,10/11/18,95,60,0.08,0.08,155,0,18,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMVVhelJPUkVsNVRXYzlQUT09&locationName=_____________________)
HAL4225,NY,PAS,8228013190,11/4/16,11:13A,INSP. STICKER-EXPIRED/MISSING,2/23/17,65,60,9.16,0,134.16,0,102,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVVOUVRWGhOZWtVMVRVRTlQUT09&locationName=_____________________)
HLD8993,NY,PAS,8566926018,9/25/17,03:51P,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,45,0,0,104,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM2xPYWtGNFQwRTlQUT09&locationName=_____________________)
68077JZ,NY,COM,8482048491,12/19/17,01:33P,NO STANDING-BUS STOP,,115,0,0,10,105,0,17,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FMXFRVEJQUkZFMVRWRTlQUT09&locationName=_____________________)
D18HWR,NJ,PAS,8482048399,12/18/17,04:36P,NO STANDING-COMM METER ZONE,,115,0,0,0,115,0,17,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FMXFRVEJQUkUwMVQxRTlQUT09&locationName=_____________________)
FHZ4127,NY,PAS,4665913742,9/13/19,10:30A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVhM2hOZW1Nd1RXYzlQUT09&locationName=_____________________)
JDP3424,NY,PAS,4663852932,8/23/19,12:42P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rMTZaekZOYW10NlRXYzlQUT09&locationName=_____________________)
FCN2850,NY,PAS,7697871877,4/6/11,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wWk5VNTZaek5OVkdjelRuYzlQUT09&locationName=_____________________)
XGUX23,NJ,PAS,8747377197,9/10/19,11:38A,FAIL TO DISP. MUNI METER RECPT,,65,0,0,0,65,0,13,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1FNTZUVE5PZWtVMVRuYzlQUT09&locationName=_____________________)
BHP1204,NY,PAS,8568655671,6/13/19,11:35A,NO STANDING-EXC. TRUCK LOADING,,95,0,0,0,95,0,24,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rOUVXVEZPVkZrelRWRTlQUT09&locationName=_____________________)
KFW5795,PA,PAS,8568655683,6/17/19,07:12A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,24,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rOUVXVEZPVkZrMFRYYzlQUT09&locationName=_____________________)
JBT7286,NY,PAS,8783338007,11/1/19,09:38A,INSP. STICKER-EXPIRED/MISSING,2/20/20,65,60,0.52,0.03,125.49,0,75,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUWHBQUkVGM1RuYzlQUT09&locationName=_____________________)
RXE88V,NJ,PAS,8568655695,6/17/19,07:34A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,24,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rOUVXVEZPVkZrMVRsRTlQUT09&locationName=_____________________)
GNP8502,NY,PAS,8614917429,5/8/18,03:15P,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,61,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNUVhM2hPZWxGNVQxRTlQUT09&locationName=_____________________)
64208MB,NY,COM,8620364868,3/26/18,10:09A,FAIL TO DISP. MUNI METER RECPT,,65,0,0,25,40,0,14,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMUVUVEpPUkdjeVQwRTlQUT09&locationName=_____________________)
16895MJ,NY,COM,8610477745,7/10/18,12:26P,COMML PLATES-UNALTERED VEHICLE,,115,10,0,0,125,0,79,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFMUVVVE5PZW1Nd1RsRTlQUT09&locationName=_____________________)
HWB9068,NY,PAS,8615021752,2/8/18,12:41P,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,71,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxOVkdNeFRXYzlQUT09&locationName=_____________________)
KND0952,PA,PAS,8615021715,2/8/18,12:27P,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,71,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxOVkdONFRsRTlQUT09&locationName=_____________________)
HNF3197,NY,PAS,8566927140,10/7/17,01:21P,EXPIRED MUNI METER,,35,10,0,0,45,0,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM2xPZWtVd1RVRTlQUT09&locationName=_____________________)
HGM1501,NY,PAS,8563211183,10/26/17,09:37A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTWGhOVkVVMFRYYzlQUT09&locationName=_____________________)
XAZD81,NJ,PAS,8482048533,12/19/17,02:43P,FIRE HYDRANT,,115,0,0,0,115,0,17,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FMXFRVEJQUkZWNlRYYzlQUT09&locationName=_____________________)
HHT3749,NY,PAS,8554965073,6/23/17,10:42A,FAIL TO DSPLY MUNI METER RECPT,10/12/17,35,60,0.21,0.16,95.05,0,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhekpPVkVFelRYYzlQUT09&locationName=_____________________)
GLJ2230,NY,PAS,8554963740,6/19/17,08:24A,EXPIRED MUNI METER,10/5/17,35,60,0.61,95.61,0,0,110,Q,TRAFFIC,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhekpOZW1Nd1RVRTlQUT09&locationName=_____________________)
GGR6506,NY,PAS,8568755173,6/12/19,01:18A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,10,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rOUVZekZPVkVVelRYYzlQUT09&locationName=_____________________)
JAA9769,NY,PAS,4666329031,9/17/19,09:08P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNXFUWGxQVkVGNlRWRTlQUT09&locationName=_____________________)
75293MB,NY,COM,8747377367,9/10/19,03:50P,EXPIRED MUNI MTR-COMM MTR ZN,,65,0,0,25,40,0,13,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1FNTZUVE5PZWsweVRuYzlQUT09&locationName=_____________________)
JFY6414,NY,PAS,4663853006,8/23/19,12:42P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rMTZaekZOZWtGM1RtYzlQUT09&locationName=_____________________)
32616JZ,NY,COM,8747377379,9/10/19,03:54P,EXPIRED MUNI MTR-COMM MTR ZN,,65,0,0,25,40,0,13,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1FNTZUVE5PZWswelQxRTlQUT09&locationName=_____________________)
JJA6770,NY,OMS,8568655701,6/17/19,08:52A,NO STANDING-EXC. AUTH. VEHICLE,,95,0,0,0,95,0,24,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rOUVXVEZPVkdOM1RWRTlQUT09&locationName=_____________________)
8CKS70,MA,PAS,8649333680,11/9/18,08:58P,NO PARKING-DAY/TIME LIMITS,,60,30,0,0,90,0,112,Q,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FOVVUWHBOZWxrMFRVRTlQUT09&locationName=_____________________)
DNM5939,NY,PAS,8610898350,6/21/18,04:07P,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,90,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFMUVaelZQUkUweFRVRTlQUT09&locationName=_____________________)
96537MJ,NY,COM,8620365071,3/26/18,05:41P,FAIL TO DISP. MUNI METER RECPT,,65,0,0,37,28,0,17,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMUVUVEpPVkVFelRWRTlQUT09&locationName=_____________________)
HSZ2898,NY,PAS,8563211304,10/26/17,11:23A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTWGhOVkUxM1RrRTlQUT09&locationName=_____________________)
T705006C,NY,OMT,8554964172,6/20/17,09:19A,REG. STICKER-EXPIRED/MISSING,10/5/17,65,60,0.62,0.12,125.5,0,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhekpPUkVVelRXYzlQUT09&locationName=_____________________)
HSB2153,NY,PAS,8566927485,10/12/17,12:52P,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,10,35,0,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM2xPZWxFMFRsRTlQUT09&locationName=_____________________)
HCR7742,NY,PAS,8613958801,1/27/18,08:11A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,67,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFMTZhekZQUkdkM1RWRTlQUT09&locationName=_____________________)
23030SH,NY,SCL,8606496297,5/7/18,08:44A,PARKED BUS-EXC. DESIG. AREA,,45,10,0,0,55,0,47,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwNXFVVFZPYWtrMVRuYzlQUT09&locationName=_____________________)
Y847314,IL,PAS,8548637328,10/17/17,02:30P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,0,35,0,78,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FOUVXWHBPZWsxNVQwRTlQUT09&locationName=_____________________)
